date,return
9/1/1952,0.0171
10/1/1952,0.0174
11/1/1952,0.018500000000000003
12/1/1952,0.0209
1/1/1953,0.0196
2/1/1953,0.0197
3/1/1953,0.020099999999999996
4/1/1953,0.0219
5/1/1953,0.0216
6/1/1953,0.021099999999999997
7/1/1953,0.0204
8/1/1953,0.0204
9/1/1953,0.0179
10/1/1953,0.0138
11/1/1953,0.0144
12/1/1953,0.016
1/1/1954,0.0118
2/1/1954,0.0097
3/1/1954,0.0103
4/1/1954,0.0097
5/1/1954,0.0076
6/1/1954,0.0064
7/1/1954,0.0072
8/1/1954,0.0092
9/1/1954,0.0101
10/1/1954,0.0098
11/1/1954,0.009300000000000001
12/1/1954,0.0115
1/1/1955,0.012199999999999999
2/1/1955,0.011699999999999999
3/1/1955,0.0128
4/1/1955,0.0159
5/1/1955,0.014499999999999999
6/1/1955,0.0141
7/1/1955,0.016
8/1/1955,0.019
9/1/1955,0.0207
10/1/1955,0.0223
11/1/1955,0.022400000000000003
12/1/1955,0.0254
1/1/1956,0.0241
2/1/1956,0.0232
3/1/1956,0.0225
4/1/1956,0.026000000000000002
5/1/1956,0.026099999999999998
6/1/1956,0.024900000000000002
7/1/1956,0.0231
8/1/1956,0.026000000000000002
9/1/1956,0.028399999999999998
10/1/1956,0.028999999999999998
11/1/1956,0.029900000000000003
12/1/1956,0.0321
1/1/1957,0.0311
2/1/1957,0.031
3/1/1957,0.0308
4/1/1957,0.030699999999999998
5/1/1957,0.030600000000000002
6/1/1957,0.0329
7/1/1957,0.0316
8/1/1957,0.0337
9/1/1957,0.0353
10/1/1957,0.0358
11/1/1957,0.0331
12/1/1957,0.0304
1/1/1958,0.024399999999999998
2/1/1958,0.015300000000000001
3/1/1958,0.013000000000000001
4/1/1958,0.0113
5/1/1958,0.0091
6/1/1958,0.0083
7/1/1958,0.0091
8/1/1958,0.0169
9/1/1958,0.024399999999999998
10/1/1958,0.0263
11/1/1958,0.026699999999999998
12/1/1958,0.0277
1/1/1959,0.0282
2/1/1959,0.027000000000000003
3/1/1959,0.027999999999999997
4/1/1959,0.029500000000000002
5/1/1959,0.028399999999999998
6/1/1959,0.0321
7/1/1959,0.032
8/1/1959,0.0338
9/1/1959,0.0404
10/1/1959,0.0405
11/1/1959,0.0415
12/1/1959,0.0449
1/1/1960,0.0435
2/1/1960,0.039599999999999996
3/1/1960,0.0331
4/1/1960,0.0323
5/1/1960,0.0329
6/1/1960,0.0246
7/1/1960,0.023
8/1/1960,0.023
9/1/1960,0.0248
10/1/1960,0.023
11/1/1960,0.023700000000000002
12/1/1960,0.0225
1/1/1961,0.022400000000000003
2/1/1961,0.0242
3/1/1961,0.0239
4/1/1961,0.0229
5/1/1961,0.0229
6/1/1961,0.0233
7/1/1961,0.022400000000000003
8/1/1961,0.0239
9/1/1961,0.022799999999999997
10/1/1961,0.023
11/1/1961,0.0248
12/1/1961,0.026000000000000002
1/1/1962,0.027200000000000002
2/1/1962,0.0273
3/1/1962,0.027200000000000002
4/1/1962,0.0273
5/1/1962,0.0269
6/1/1962,0.0273
7/1/1962,0.0292
8/1/1962,0.0282
9/1/1962,0.0278
10/1/1962,0.0274
11/1/1962,0.028300000000000002
12/1/1962,0.0287
1/1/1963,0.0291
2/1/1963,0.0292
